time,Clock.time,PDP.current,PDP.voltage,PDP.temperature,PDP.resistance,PDP.unloaded_voltage,Drive.override_gyro,Drive.override_autoshift,Drive.gear,OI.left,OI.right,OI.commandingStraight,OI.fwd,OI.rot,Stick_1_Axis_0.value,Stick_1_Axis_3+Stick_1_Axis_2+.Value,pneumatics.pressure,left.velocity,left.position,left.setpoint,left.error,left.battery_voltage,left.voltage,left.current,left.control_mode,left.gear,left.resistance,left.velocity_PID,right.velocity,right.position,right.setpoint,right.error,right.battery_voltage,right.voltage,right.current,right.control_mode,right.gear,right.resistance,right.velocity_PID,AHRS.heading,AHRS.angular_displacement,AHRS.angular_vel,AHRS.x_accel,AHRS.y_accel,AHRS.pitch,UnidirectionalNavXDefaultDrive.drivingStraight,UnidirectionalNavXDefaultDrive.running,UnidirectionalNavXDefaultDrive.raw_output,UnidirectionalNavXDefaultDrive.processed_output,UnidirectionalNavXDefaultDrive.final_output,LimeLightPos.velocity,LimeLightPos.position,LimeLightPos.setpoint,LimeLightPos.error,LimeLightPos.battery_voltage,LimeLightPos.voltage,LimeLightPos.current,LimeLightPos.control_mode,LimeLightPos.gear,LimeLightPos.resistance,LimeLightPos.velocity_PID,arm.velocity,arm.position,arm.setpoint,arm.error,arm.battery_voltage,arm.voltage,arm.current,arm.control_mode,arm.gear,arm.resistance,arm.velocity_PID
2863,9342,8.875,12.8,33.32937016989456,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.426759099999998,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,0.06434000305598601,0.0,1.1699999570846558,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.55,0.0,0.0,PercentOutput,0,null,true
2934,9442,8.875,12.8,33.32937016989456,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.426759099999998,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,0.03217000152799301,0.03217000152799301,1.1699999570846558,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.55,0.0,0.0,PercentOutput,0,null,true
3007,9509,8.875,12.8,34.361878539469984,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,0.12868000611197203,0.0,1.1699999570846558,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.55,0.0,0.0,PercentOutput,0,null,true
3079,9582,8.875,12.85,34.361878539469984,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,-0.03217000152799301,-0.12868000611197203,1.1699999570846558,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.55,0.0,0.0,PercentOutput,0,null,true
3125,9638,8.875,12.85,34.361878539469984,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,0.03217000152799301,0.12868000611197203,1.1699999570846558,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.55,0.0,0.0,PercentOutput,0,null,true
3193,9687,8.875,12.85,34.361878539469984,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,0.0,0.06434000305598601,1.1699999570846558,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,0,null,true
3255,9769,8.875,12.85,33.32937016989456,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,0.03217000152799301,0.06434000305598601,1.1699999570846558,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,0,null,true
3325,9843,8.875,12.85,34.361878539469984,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,0.06434000305598601,-0.22519000695087016,1.1799999475479126,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.55,0.0,0.0,PercentOutput,0,null,true
3389,9897,8.875,12.85,34.361878539469984,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.426759099999998,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,-0.06434000305598601,0.0,1.1699999570846558,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.55,0.0,0.0,PercentOutput,0,null,true
3458,9970,8.875,12.85,33.32937016989456,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,0.09651000083889813,-0.06434000305598601,1.1699999570846558,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.55,0.0,0.0,PercentOutput,0,null,true
3585,10070,8.875,12.85,34.361878539469984,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.5488294,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,-0.09651000083889813,0.0,1.1699999570846558,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.55,0.0,0.0,PercentOutput,0,null,true
3654,10163,8.875,12.85,33.32937016989456,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,0.06434000305598601,0.09651000083889813,1.1699999570846558,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.55,0.0,0.0,PercentOutput,0,null,true
3716,10229,8.875,12.8,34.361878539469984,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,-0.12868000611197203,0.0,1.1699999570846558,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.55,0.0,0.0,PercentOutput,0,null,true
3777,10291,8.875,12.85,34.361878539469984,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,-0.03217000152799301,0.12868000611197203,1.1699999570846558,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.55,0.0,0.0,PercentOutput,0,null,true
3836,10348,8.875,12.8,33.32937016989456,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,-0.09651000083889813,0.0,1.1699999570846558,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.55,0.0,0.0,PercentOutput,0,null,true
3893,10407,8.875,12.8,33.32937016989456,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,0.12868000611197203,-0.16084999640472233,1.1699999570846558,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.55,0.0,0.0,PercentOutput,0,null,true
3975,10489,8.875,12.8,33.32937016989456,NaN,NaN,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.426759099999998,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,0.0,0.06434000305598601,1.1699999570846558,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.4,0.0,0.0,PercentOutput,0,null,true
4055,10570,8.875,12.1,34.361878539469984,-Infinity,-Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.200000000000001,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.25,0.0,0.0,PercentOutput,1,NaN,true,10.579986572265625,10.569999694824219,0.009999275207519531,1.54416001342237,8.685900345146656,1.0199999809265137,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Velocity,0,null,true,0.0,0.0,0.0,0.0,12.4,0.0,0.0,PercentOutput,0,null,true
4136,10637,8.875,12.4,33.32937016989456,-Infinity,-Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.25,0.0,0.0,Velocity,1,NaN,true,0.0,0.0,0.0,0.0,12.3,0.0,0.0,Velocity,1,NaN,true,10.579986572265625,10.569999694824219,0.01999950408935547,5.372389861941338,26.347230184078217,0.9800000190734863,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Velocity,0,null,true,0.0,0.0,0.007749999999999999,0.0,12.200000000000001,0.0,0.0,PercentOutput,0,null,true
4248,10756,9.625,12.450000000000001,34.361878539469984,NaN,NaN,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.426759099999998,0.0,0.0,0.0,0.0,12.25,0.0,0.0,Velocity,1,NaN,true,0.0,0.0,0.0,0.0,12.25,0.0,0.0,Velocity,1,NaN,true,10.54998779296875,10.539999961853027,-0.010000228881835938,9.522320122718812,17.17877934038639,0.8700000047683716,true,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Velocity,0,null,true,0.0,0.0,0.009624999999999998,0.0,12.200000000000001,0.0,0.0,PercentOutput,0,null,true
4328,10843,9.625,12.5,34.361878539469984,NaN,NaN,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.25,0.0,0.0,Velocity,1,NaN,true,0.0,0.0,0.0,0.0,12.25,0.0,0.0,Velocity,1,NaN,true,10.54998779296875,10.539999961853027,-0.010000228881835938,10.29439976990223,14.02611966252327,0.7799999713897705,true,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Velocity,0,null,true,0.0,0.0,0.013916666666666664,0.0,12.200000000000001,0.0,0.0,PercentOutput,0,null,true
4429,10945,9.625,12.4,34.361878539469984,NaN,NaN,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.25,0.0,0.0,Velocity,1,NaN,true,0.0,0.0,0.0,0.0,12.25,0.0,0.0,Velocity,1,NaN,true,10.55999755859375,10.550000190734863,-0.010000228881835938,5.24371008053422,-25.703830797672275,0.8500000238418579,true,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Velocity,0,null,true,0.0,0.0,0.017874999999999995,0.0,12.200000000000001,0.0,0.0,PercentOutput,0,null,true
4510,10999,9.625,12.5,34.361878539469984,NaN,NaN,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.200000000000001,0.0,0.0,Velocity,1,NaN,true,0.0,0.0,0.0,0.0,12.25,0.0,0.0,Velocity,1,NaN,true,10.600006103515625,10.59000015258789,0.029999732971191406,-1.8658599463105203,-28.180919585824014,0.8799999952316284,true,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Velocity,0,null,true,0.0,0.0,0.019833333333333328,0.0,12.200000000000001,0.0,0.0,PercentOutput,0,null,true
4592,11086,8.875,12.35,33.32937016989456,NaN,NaN,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.200000000000001,0.0,0.0,Velocity,1,NaN,true,0.0,0.0,0.0,0.0,12.25,0.0,0.0,Velocity,1,NaN,true,10.57000732421875,10.5600004196167,-0.01999950408935547,0.48254998921416703,-16.438869279026985,0.7900000214576721,true,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Velocity,0,null,true,0.0,0.0,0.023208333333333327,0.0,12.200000000000001,0.0,0.0,PercentOutput,0,null,true
4674,11166,9.625,12.450000000000001,34.361878539469984,NaN,NaN,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.200000000000001,0.0,0.0,Velocity,1,NaN,true,0.0,0.0,0.0,0.0,12.25,0.0,0.0,Velocity,1,NaN,true,10.54998779296875,10.539999961853027,-0.0,7.527779915630818,29.11384907960892,0.6000000238418579,true,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Velocity,0,null,true,0.0,0.0,0.027333333333333328,0.0,12.200000000000001,0.0,0.0,PercentOutput,0,null,true
